"Respondent","Platform1","Platform2","Platform3","Platform4","Platform5","Platform6","Platform7","Platform8","Platform9","Platform10","Platform11","Platform12","Platform13","Platform14","Platform15","Platform16"
81704,"AWS","Docker","IBM Cloud or Watson","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81722,"Arduino","AWS","Docker","Heroku","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81727,"AWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81731,"Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81746,"Android","AWS","Google Cloud Platform","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81748,"Android","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81754,"Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
81757,"Docker","Google Cloud Platform","Heroku","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81758,"Arduino","AWS","Docker","Linux","MacOS","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA
81766,"Windows","WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81769,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81771,"AWS","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81775,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81781,"Android","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81784,"Docker","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81787,"Android","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81796,"Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81807,"AWS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81817,"Android","Heroku","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81830,"Google Cloud Platform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81836,"Arduino","Heroku","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81851,"Docker","Kubernetes","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81863,"Arduino","Docker","Linux","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81882,"Android","Arduino","Docker","Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81883,"Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81888,"Android","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81889,"Android","Google Cloud Platform","IBM Cloud or Watson","iOS","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
81891,"AWS","Docker","Google Cloud Platform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81892,"AWS","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81901,"AWS","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81914,"Docker","Kubernetes","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81919,"Docker","Google Cloud Platform","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81921,"Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81926,"AWS","Microsoft Azure","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81933,"AWS","Docker","Google Cloud Platform","Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81938,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81962,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81972,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81983,"Android","AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA
81990,"AWS","IBM Cloud or Watson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81995,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81998,"AWS","Google Cloud Platform","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82003,"Docker","Google Cloud Platform","Heroku","Kubernetes","Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA
82010,"Docker","Heroku","Kubernetes","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82013,"Android","MacOS","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82021,"Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82030,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82032,"Linux","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82042,"Android","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82043,"WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82049,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82051,"AWS","Heroku","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82052,"Heroku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82053,"Arduino","AWS","Docker","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA
82064,"Arduino","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82068,"Linux","MacOS","Slack","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82077,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82087,"Android","Arduino","AWS","Docker","Heroku","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA
82089,"Android","iOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82091,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82093,"Android","AWS","IBM Cloud or Watson","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82096,"Docker","Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82097,"AWS","Docker","Heroku","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82100,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82101,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82123,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82127,"Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82136,"Docker","Google Cloud Platform","Heroku","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82138,"Android","Docker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82154,"Android","iOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82159,"AWS","Docker","Linux","MacOS","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82163,"Arduino","AWS","Google Cloud Platform","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82166,"AWS","Google Cloud Platform","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82168,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
82172,"Android","AWS","IBM Cloud or Watson","Linux","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82179,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82192,"Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82195,"Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82238,"Arduino","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82241,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82247,"Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82248,"AWS","Docker","Kubernetes","Linux","Raspberry Pi","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82261,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82268,"Heroku","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82269,"Android","Docker","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82296,"Android","Google Cloud Platform","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82313,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82317,"Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82318,"Docker","Kubernetes","Linux","Slack","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82332,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82336,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82354,"Android","Heroku","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82361,"Android","Google Cloud Platform","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82385,"WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82392,"AWS","Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82393,"Arduino","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82397,"Arduino","Docker","Google Cloud Platform","Linux","Raspberry Pi","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82405,"Android","AWS","Docker","Google Cloud Platform","Heroku","IBM Cloud or Watson","Kubernetes","Linux","Slack","Windows","WordPress",NA,NA,NA,NA,NA
82412,"Arduino","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82416,"Android","AWS","Docker","Linux","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
82420,"Android","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82426,"Android","Docker","Linux","Raspberry Pi","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82428,"Docker","Heroku","MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82436,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82437,"AWS","Docker","Kubernetes","Linux","MacOS","Microsoft Azure","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA
82451,"Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82452,"Linux","Raspberry Pi","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82455,"AWS","Docker","Google Cloud Platform","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82458,"Android","Docker","iOS","Linux","MacOS","Microsoft Azure","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA
82465,"AWS","Heroku","iOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82469,"AWS","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82474,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82480,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82482,"Docker","Google Cloud Platform","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82487,"AWS","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82500,"AWS","Google Cloud Platform","Linux","MacOS","Microsoft Azure","Slack","Windows","WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA
82519,"Linux","Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82533,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82548,"Android","Linux","Slack","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82552,"Google Cloud Platform","Heroku","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82562,"AWS","Docker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82563,"Arduino","Linux","Raspberry Pi","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82570,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82571,"AWS","Google Cloud Platform","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82587,"Arduino","AWS","Docker","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82591,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82602,"Linux","Microsoft Azure","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82606,"Google Cloud Platform","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82610,"Docker","Google Cloud Platform","Linux","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82611,"AWS","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82645,"AWS","Docker","Kubernetes","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82656,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82658,"Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82665,"Android","Arduino","Linux","MacOS","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82666,"Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82673,"Linux","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82683,"AWS","Docker","Kubernetes","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82684,"Android","AWS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82695,"Docker","Linux","Microsoft Azure","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82702,"Android","Docker","Heroku","Linux","MacOS","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
82705,"Docker","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82709,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82724,"AWS","Docker","Heroku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82726,"WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82739,"Android","AWS","Docker","iOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82745,"Docker","Linux","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82754,"Arduino","AWS","Google Cloud Platform","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82765,"Android","iOS","Linux","Windows","WordPress","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82768,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82771,"AWS","Docker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82773,"MacOS","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82776,"AWS","Docker","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82777,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82790,"Google Cloud Platform","IBM Cloud or Watson","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82791,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
82797,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82800,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82801,"Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82812,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82814,"Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82815,"Android","AWS","Docker","iOS","Linux","MacOS","Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
82840,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82846,"Linux","MacOS","Raspberry Pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82853,"Android","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82855,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82858,"AWS","Docker","Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82861,"AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
82876,"Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82879,"Docker","MacOS","Microsoft Azure","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82885,"IBM Cloud or Watson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82898,"AWS","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82902,"AWS","Docker","Heroku","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82911,"Linux","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82914,"Android","Docker","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82927,"Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82930,"Arduino","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82935,"Arduino","AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure",NA,NA,NA,NA,NA,NA,NA,NA,NA
82939,"Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82951,"Docker","Kubernetes","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82963,"Docker","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82990,"AWS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83006,"Arduino","AWS","Docker","Google Cloud Platform","Kubernetes","Linux","Microsoft Azure","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA
83015,"Arduino","AWS","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83017,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83018,"Docker","Google Cloud Platform","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83029,"Android","Arduino","AWS","Docker","Google Cloud Platform","iOS","Kubernetes","Linux","MacOS","Raspberry Pi","WordPress",NA,NA,NA,NA,NA
83032,"Android","AWS","Docker","Linux","Raspberry Pi","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA
83036,"AWS","Google Cloud Platform","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83046,"Android","Arduino","Linux","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83048,"Android","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83053,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83066,"Android","Docker","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83090,"Android","Docker","Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83091,"AWS","Docker","Google Cloud Platform","Linux","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83095,"Slack","Windows","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83096,"AWS","Google Cloud Platform","Linux","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83106,"AWS","Linux","WordPress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83112,"AWS","Linux","MacOS","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83114,"AWS","Docker","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83115,"AWS","Google Cloud Platform","Heroku","iOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83116,"Google Cloud Platform","MacOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83117,"Android","Arduino","AWS","Docker","Google Cloud Platform","Heroku","IBM Cloud or Watson","iOS","Kubernetes","Linux","MacOS","Microsoft Azure","Raspberry Pi","Slack","Windows","WordPress"
83123,"Android","AWS","Docker","Linux","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83124,"AWS","Docker","MacOS","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83158,"AWS","Google Cloud Platform","Linux","Windows","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83167,"AWS","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83188,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83204,"Android","AWS","Docker","Linux","Raspberry Pi","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83209,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83224,"Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83243,"Docker","Microsoft Azure","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83245,"Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83256,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83263,"Google Cloud Platform","Linux","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83266,"AWS","Heroku","MacOS","Slack","Windows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83279,"Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83301,"Android","Arduino","AWS","Google Cloud Platform","IBM Cloud or Watson","Slack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
